eventId,title,description,location,eventType,startTime,endTime,organizerName,capacity
1,AI 入門工作坊,介紹生成式 AI 的基本概念與校園應用,管理學院 MB101,工作坊,2026-06-12T10:00:00,2026-06-12T12:00:00,資訊管理系,30
2,校園永續講座,分享校園節能與永續生活案例,國際會議廳 AC102,講座,2026-06-18T14:00:00,2026-06-18T16:00:00,學生事務處,0
3,企業參訪說明會,介紹企業參訪流程與注意事項,活動中心 A201,參訪(含校外、產業、場域、實地參訪),2026-06-20T09:00:00,2026-06-20T10:30:00,資訊管理系,20
5,EMI工作坊：Designing a Hands-On Discipline-Specific ESAP Course,以線上方式交流 EMI 課程設計與實作案例,線上會議,工作坊,2026-06-08T13:30:00,2026-06-08T15:00:00,語言中心,0
6,115年6月職醫臨場服務,提供母性健康保護與異常工作負荷健康諮詢,行政中心大樓 AD210 - 會議室,其他,2026-06-09T00:00:00,2026-06-09T23:59:00,環境安全科技中心,20
7,永齡希望小學課輔老師6月月聚會,課輔老師交流教學現場狀況並整理下月服務重點,技職大樓 VT223 - 數位化多功能教學專業教室,聯誼交流活動(畢業茶會、系友會),2026-06-09T00:00:00,2026-06-09T23:59:00,雲林教育服務中心,15
8,AI 時代的數據分析術,介紹 AI 工具如何輔助資料清理分析與視覺化,資訊大樓 AC222 - 第二演講廳,講座,2026-06-15T09:30:00,2026-06-15T12:30:00,資訊管理系,2
9,語言中心 ESP CAFE 英語課程：Crochet 101 with English,透過手作鉤針活動練習英文溝通與情境表達,人科一館 DH113 - 情境教室,教育訓練課程,2026-06-17T10:00:00,2026-06-17T12:00:00,語言中心,3
10,AI Vibe Coding建立EMI互動學習課程的MVP工作坊,以 Vibe Coding 快速製作 EMI 互動學習活動原型,人科一館 DH103 - 會議室,工作坊,2026-06-17T10:00:00,2026-06-17T12:20:00,人文與科學學院,25
11,群組移動機器人工作坊,體驗多台移動機器人的協作控制與應用情境,產學研大樓 AI002 - 移動機器人產學專案中心,工作坊,2026-06-20T09:00:00,2026-06-21T16:00:00,智慧科技學院,40
12,AI驅動的EMI學習支持生態系工作坊,從教學鷹架到自主學習實踐介紹 AI 支援 EMI 的方法,人科一館 DH103 - 會議室,工作坊,2026-06-30T10:00:00,2026-06-30T12:20:00,人文與科學學院,25
13,科技法律研究所115級新生說明會,說明新生入學流程課程規劃與研究資源,人科二館 DS123b - 專業教室,其他,2026-07-20T16:00:00,2026-07-20T17:00:00,科技法律研究所,0
